Name,Position,Age,OVR,Speed,Fatigue,PassAccuracy,Acceleration,Strength,Reactions
William Mendieta,CAM,35,68,53,53,69,61,70,67
Hamza Mendyl,LM,26,68,89,71,63,85,61,70
Mehdi Merghem,RM,27,68,74,74,68,76,70,55
Billal Messaoudi,ST,26,68,76,63,61,84,69,68
Metinho,CDM,21,68,70,72,71,68,60,65
Melle Meulensteen,CDM,25,68,68,78,66,68,73,68
August Mikkelsen,LW,23,68,75,83,63,85,56,62
Dardo Miloc,CDM,33,68,61,90,62,59,71,63
Marko Milovanović,ST,21,68,62,58,59,56,78,67
Kevin Minda,CDM,25,68,63,76,70,67,68,65
Luis Miranda,RM,27,68,81,73,63,83,60,64
Demetri Mitchell,LM,27,68,91,74,63,89,64,62
Billy Mitchell,CM,23,68,66,82,72,66,70,72
Stefan Mitrović,LM,22,68,79,64,65,74,69,53
Jan Mlakar,LM,25,68,78,71,65,80,71,65
Vasile Mogoș,RB,31,68,68,74,64,63,83,64
Tobias Mohr,LM,29,68,81,76,64,77,68,59
Adrien Monfray,CB,33,68,68,88,63,59,84,64
Gonzalo Morales,ST,21,68,73,66,54,73,80,69
Alfredo Morales,CDM,34,68,48,78,67,62,76,64
Jon Morcillo,LM,25,68,76,71,66,82,65,61
Berto,LM,28,68,78,66,62,80,74,67
Ariel Mosór,CB,21,68,66,75,62,66,78,62
Aimen Moueffek,CM,23,68,62,64,68,68,65,69
Filip Mrzljak,CDM,31,68,66,87,65,71,62,61
Rui Modesto,RM,24,68,85,78,62,84,57,58
Arbnor Mucolli,LW,24,68,72,71,66,75,52,62
Ngal'ayel Mukau,CDM,19,68,64,64,72,65,60,62
Beni,CM,22,68,67,70,69,67,62,64
Agustín Mulet,CM,24,68,70,83,75,72,66,64
Tobias Müller,CB,30,68,62,71,60,64,76,66
Paul Mullin,ST,29,68,77,83,58,74,71,67
Jorge Félix,LM,33,68,66,62,68,66,56,66
Josh Murphy,LM,29,68,87,56,63,86,55,62
Visar Musliu,CB,29,68,71,72,62,70,74,67
Alex Muyl,RM,28,68,76,91,66,80,74,62
Joel Mvuka,RM,21,68,90,71,59,92,33,58
Moussa N'Diaye,LB,22,68,78,65,67,73,57,62
Nikolas Nartey,CM,24,68,69,59,73,69,72,71
João Muniz,CB,19,68,68,58,49,71,66,64
Kyle Naughton,CB,35,68,53,60,70,55,66,69
Federico Navarro,CDM,24,68,74,67,70,73,43,65
Raúl Navarro,RB,30,68,65,75,66,66,60,65
Duckens Nazon,ST,30,68,78,46,63,74,79,63
Alassane Ndao,RM,27,68,78,63,65,74,59,63
Dorgeles Nene,ST,21,68,85,67,63,86,50,63
Loïc Nestor,CB,35,68,39,87,61,59,78,66
Roman Neustädter,CB,36,68,32,77,70,32,74,60
Serge-Junior M. Ngouali,CDM,32,68,60,75,68,61,73,70
Ibrahima Niane,ST,25,68,76,65,58,81,67,65
Julian Niehues,CDM,23,68,61,72,65,57,84,68
Lasse Nielsen,CB,36,68,69,69,59,61,82,63
Luciano Nieto,CM,33,68,71,68,72,73,65,70
Carlos Nieto,LB,28,68,71,76,65,67,76,65
Calem Nieuwenhof,CM,23,68,76,88,69,76,58,67
Rhys Norrington-Davies,LB,25,68,68,75,65,69,63,64
Ryan Nyambe,RB,26,68,78,73,61,78,76,63
Benjamin Nygren,ST,23,68,68,64,68,71,66,67
Mark O'Hara,CM,28,68,72,86,68,69,74,68
Samuel Obeng,ST,27,68,85,82,56,83,84,56
Jáder Obrian,RM,29,68,86,74,61,88,67,65
Marvin Obuz,RM,22,68,69,81,69,76,60,66
Kanji Okunuki,LM,25,68,83,80,63,86,35,61
Olaetxea,CDM,31,68,63,75,70,65,73,68
Andrigo,RW,29,68,74,77,71,76,58,60
Cleiton Silva,ST,37,68,72,78,62,78,79,63
Simon Olsson,CM,27,68,61,84,75,65,74,64
Odei,CB,34,68,52,87,61,48,72,67
Jérôme Onguéné,CB,26,68,72,50,65,64,76,62
Thijs Oosting,ST,24,68,67,78,69,69,61,68
Kwadwo Opoku,ST,23,68,84,71,63,86,74,69
Aaron Opoku,RM,25,68,92,71,61,84,58,53
Pedro Ortiz,CM,24,68,54,72,71,65,68,65
Sergio Ortuño,CM,25,68,66,70,69,60,60,68
Leandro Otormín,LW,28,68,68,63,73,79,61,48
Yassin Oukili,CDM,23,68,64,77,71,54,82,64
Walid Ould-Chikh,CAM,24,68,77,69,69,74,61,65
Luca Oyen,LM,21,68,74,63,67,82,42,61
Levin Öztunalı,RW,28,68,80,64,68,75,71,66
Marko Pajač,LB,31,68,75,82,70,73,59,68
Tobías Palacio,CB,17,68,84,75,65,72,73,63
Giuseppe Panico,ST,27,68,79,61,66,80,57,68
Renato Pantalon,CB,26,68,53,60,50,53,90,65
Jayson Papeau,LM,28,68,83,72,64,84,75,56
Daniel Paraschiv,ST,25,68,72,85,59,78,78,66
Ezequiel Parnisari,CB,34,68,33,38,63,32,81,66
Alfonso Parot,LB,34,68,74,71,64,56,81,59
Troy Parrott,ST,22,68,78,69,64,77,62,70
Juan Patiño,CB,34,68,65,64,63,54,83,59
Charlie Patino,CM,20,68,55,76,74,66,58,61
Louis Patris,RB,23,68,79,67,62,69,70,62
Luis Paz,CDM,36,68,54,72,66,65,80,59
Matty Pearson,CB,31,68,51,79,53,48,81,64
Marvin Peersman,CB,33,68,73,75,57,68,74,60
Tomáš Pekhart,ST,35,68,68,70,64,47,90,65
Pietro Pellegri,ST,23,68,57,50,59,55,72,64
Théo Pellenard,CB,30,68,46,68,70,55,71,66
Henrique Araújo,ST,22,68,68,67,62,72,75,71
Elías Pereyra,LB,25,68,78,75,62,82,54,61
Kevin Pérez,CAM,27,68,80,66,69,80,47,62
César Pérez,CM,21,68,70,78,71,68,58,67
Dino Perić,CB,30,68,58,58,68,46,84,52
Mauro Perković,CB,21,68,77,75,61,74,73,65
Aleks Petkov,CB,25,68,62,64,60,58,87,60
Lukas Petkov,CM,23,68,73,72,72,78,62,68
Dimitri Petratos,ST,31,68,62,86,70,66,72,71
Raoul Petretta,LB,27,68,76,74,66,81,71,64
Jacopo Petriccione,CM,29,68,38,60,74,55,63,63
Radosav Petrović,CDM,35,68,33,70,65,37,80,65
Leonel Picco,CDM,25,68,55,71,71,53,74,61
Carl Piergianni,CB,32,68,34,79,55,44,91,65
Santiago Pierotti,RW,23,68,67,54,68,68,72,70
Balthazar Pierret,CDM,24,68,62,74,68,70,71,64
Iván Pillud,RB,38,68,64,52,67,53,77,70
César Pinares,CAM,33,68,66,69,70,68,74,58
Donovan Pines,CB,26,68,76,67,54,68,84,63
Guilherme Ramos,CB,27,68,66,70,61,53,82,66
Przemysław Płacheta,LM,26,68,93,76,63,89,48,62
Tin Plavotić,CB,27,68,39,60,67,41,89,48
Pleguezuelo,CB,27,68,79,64,67,76,67,65
Dennis Politic,LW,24,68,76,76,65,81,72,65
Mattie Pollock,CB,22,68,58,70,59,55,85,61
Paxton Pomykal,CM,24,68,71,78,74,76,66,66
Alexandru Pop,ST,24,68,81,82,63,82,72,63
Janio Pósito,ST,34,68,62,44,62,61,64,65
Nicolai Poulsen,CM,31,68,52,81,72,68,77,69
Tomás Pozzo,RW,23,68,72,56,70,82,51,61
Gianluca Prestianni,RM,18,68,83,63,57,91,33,62
Alex Pritchard,CAM,31,68,58,52,68,61,34,67
Kai Pröger,ST,32,68,80,82,55,85,68,66
Martín Prost,ST,36,68,65,65,63,64,74,65
Ruben Providence,LM,23,68,81,71,61,86,54,63
Nicolás Quagliata,CAM,25,68,67,60,70,70,34,58
Daniel Queipo,LM,22,68,81,64,65,80,41,60
Rubert Quijada,CB,35,68,61,76,64,66,69,64
Álvaro Quiroga,CDM,29,68,67,85,70,72,59,65
Bogdan Racovițan,CB,24,68,75,73,55,75,83,59
Joe Rafferty,RB,30,68,65,75,64,66,71,63
Michał Rakoczy,CAM,22,68,78,76,66,76,56,65
Nicolás Ramírez,CB,27,68,62,61,68,50,76,62
Eric Ramírez,ST,27,68,83,59,64,80,55,67
Christian Ramirez,ST,33,68,60,64,68,59,80,65
Jiovany Ramos,CB,27,68,60,75,63,54,71,60
Adam Randell,CM,23,68,74,80,69,78,64,67
Nicolai Rapp,CDM,27,68,54,70,67,55,75,69
Tobias Raschl,CM,24,68,61,82,71,67,63,69
Christiaan Ravych,CB,22,68,50,45,60,42,73,68
Kenny Prince Redondo,LM,30,68,92,77,65,91,53,60
Johannes Reichert,CB,33,68,69,70,64,62,76,66
Ferro,CB,27,68,50,67,68,54,78,63
Erlend Dahl Reitan,RB,27,68,79,85,64,79,72,64
Nicolai Remberg,CM,24,68,71,76,73,67,78,66
Eric Remedi,CDM,29,68,34,68,67,51,85,69
Andrés Reyes,CB,25,68,74,76,56,70,83,66
Jordan Rhodes,ST,34,68,69,45,52,52,74,67
Brayan Riascos,ST,29,68,81,76,63,78,78,64
Clemens Riedel,CB,21,68,53,55,66,55,73,67
Andy Rinomhota,CDM,27,68,84,81,64,76,80,63
Renaud Ripart,RM,31,68,65,82,70,62,83,66
Birk Risa,CB,26,68,75,84,66,73,72,66
Marvin Rittmüller,RB,25,68,92,81,63,82,64,60
Ciro Rius,RM,35,68,71,62,72,66,57,64
Rigoberto Rivas,LM,26,68,77,67,68,81,59,58
José Rivera,ST,27,68,69,65,65,70,67,55
Harold Rivera,CDM,30,68,72,74,69,70,66,68
Tyler Roberts,CAM,25,68,70,62,66,69,73,63
Thomas Robinet,ST,28,68,74,82,68,68,74,68
Carlos Robles,CDM,32,68,53,84,70,51,79,60
Paulo Henrique,LB,27,68,72,71,66,70,73,61
Júlio Romão,CDM,26,68,58,64,71,61,90,59
Ronaldo Tavares,ST,27,68,78,65,56,75,85,66
Kevin Rodríguez,ST,24,68,82,70,60,77,74,67
Valentín Rodríguez,LB,23,68,78,73,67,81,64,64
Lucas Rodríguez,LB,30,68,76,70,63,73,64,65
Martín Rodríguez,LM,30,68,81,62,66,81,58,55
Salomón Rodríguez,ST,24,68,60,59,57,59,80,67
Andy,CM,34,68,52,80,68,52,73,68
Riki,CM,26,68,69,72,69,73,57,68
Maximiliano Rodríguez Vejar,ST,24,68,66,66,65,68,73,64
Miguel Rodríguez,RM,21,68,79,44,69,78,58,60
Žan Rogelj,RM,24,68,75,80,66,83,55,63
Maximilian Rohr,CB,29,68,64,58,69,52,82,68
Rodrigo Rojas,CM,36,68,65,74,73,73,75,66
Joao Rojas,CAM,35,68,75,70,67,75,69,68
Joao Rojas,LM,27,68,81,75,65,80,49,59
Enzo Roldán,CM,23,68,73,80,70,71,56,64
Nicolás Romero,CB,20,68,57,56,66,63,71,70
Connor Ronan,CM,26,68,66,81,73,69,34,53
Sandro Cruz,LB,23,68,82,75,64,78,61,58
Michael Rose,CB,28,68,74,67,65,66,78,63
Carlos Ross,RW,33,68,85,67,62,81,68,70
Bryan Rovira,CDM,27,68,54,75,66,56,83,61
Donat Rrudhani,RM,25,68,75,71,64,74,75,50
Tobías Rubio,CB,20,68,75,73,70,78,74,64
Alex Rufer,CDM,28,68,64,72,69,64,83,61
Víctor Ruiz,CM,30,68,64,66,75,73,58,64
Haibrany Ruíz Díaz,CB,32,68,67,68,71,60,74,67
Patrick William,CB,27,68,61,65,68,55,78,63
Armando Sadiku,ST,33,68,68,53,63,62,77,65
Görkem Sağlam,CAM,26,68,67,75,70,76,61,65
José Sagredo,CB,30,68,80,75,60,79,72,62
Ömer Ali Şahiner,RB,32,68,73,79,65,76,63,67
Rafiki Saïd,LM,24,68,79,58,64,81,47,58
Víctor Salazar,RB,31,68,90,80,61,80,62,64
João Graça,CM,29,68,67,70,71,66,64,68
Eddie Salcedo,ST,22,68,74,55,68,83,56,60
Saúl Salcedo,CB,27,68,50,62,47,58,76,68
Ronivaldo,ST,35,68,71,74,62,73,69,48
Brian Salvareschi,CB,25,68,53,69,62,57,78,67
Piotr Samiec-Talar,RM,22,68,84,61,67,83,60,57
Luciano Sánchez,LM,30,68,74,67,60,79,67,68
Felipe Sánchez,CB,20,68,62,84,65,59,73,67
Niklas Sandberg,RM,29,68,70,75,65,71,63,65
Nazim Sangaré,RB,30,68,79,66,63,82,68,65
Kaishū Sano,CM,23,68,67,74,71,76,50,70
Kodai Sano,LM,20,68,57,82,68,79,57,65
Benjamin Santelli,ST,32,68,80,75,61,90,69,62
Simone Santoro,CM,24,68,83,70,72,77,65,66
Pedro Amador,LB,25,68,72,64,68,72,60,64
Andrés Sarmiento,LM,26,68,71,67,62,74,67,65
Amin Sarr,ST,23,68,84,67,63,86,72,65
Nikolas Sattlberger,CDM,20,68,49,63,69,58,74,59
Fernando Saucedo,CM,34,68,47,76,73,52,47,62
Allahyar Sayyadmanesh,LM,23,68,87,79,61,85,76,63
Amine Sbaï,LW,23,68,78,64,62,74,49,58
Dan Scarr,CB,29,68,50,74,56,52,83,67
Stefan Schimmer,ST,30,68,64,65,61,64,77,65
Lukas Schleimer,CAM,24,68,64,81,67,78,42,67
Alessandro Schöpf,CM,30,68,66,86,71,73,64,68
Marvin Schulz,CB,29,68,71,68,68,59,73,67
Iñigo Piña,CB,29,68,67,62,66,62,66,64
Rubin Seigers,CB,26,68,66,53,66,65,74,63
Seo Jin Su,ST,23,68,83,81,58,81,69,68
Seo Min Woo,CM,26,68,60,85,68,60,79,68
Claudio Sepúlveda,CDM,32,68,60,75,72,57,66,66
Mats Seuntjens,ST,32,68,79,65,70,71,76,62
Edgar Sevikyan,CAM,23,68,68,64,66,71,58,65
Josh Sheehan,CDM,29,68,77,84,73,81,54,69
Maryan Shved,RM,27,68,72,59,62,72,48,61
Toby Sibbick,CB,25,68,76,69,65,73,76,65
Carlo Sickinger,CB,27,68,60,73,68,64,67,71
Igor Silva,RB,28,68,75,73,63,73,56,63
Marco Matias,LM,35,68,73,61,64,76,60,64
Jean Carlos,LM,28,68,84,82,64,87,63,59
Roko Šimić,ST,21,68,69,71,69,58,80,61
Danel Sinani,RM,27,68,70,60,70,67,70,67
Doğukan Sinik,LM,25,68,80,58,66,82,45,59
Abdoulaye Sissako,CM,26,68,72,79,69,69,79,66
Maxime Sivis,RB,26,68,79,83,62,72,71,52
Tom Slončík,CAM,19,68,65,69,70,69,53,65
Sam Smith,ST,26,68,72,74,61,77,78,67
Paul Smyth,RM,27,68,90,70,62,90,50,61
Soberón,ST,27,68,71,54,68,69,58,60
Dejan Sorgić,ST,34,68,62,67,66,64,65,62
Gonzalo Sosa,ST,35,68,56,61,53,50,82,64
Eduardo Sosa,CAM,28,68,70,71,68,70,65,59
Guillermo Soto,RB,30,68,78,75,66,75,61,62
Sambou Soumano,ST,23,68,69,56,63,69,59,56
Issa Soumaré,LM,23,68,82,66,64,82,70,64
Furkan Soyalp,CM,29,68,70,69,74,71,65,59
Blair Spittal,CM,28,68,76,87,72,73,63,66
Dennis Srbeny,ST,30,68,61,71,67,67,76,70
Apostolos Stamatelopoulos,ST,25,68,72,77,61,68,84,68
Jozo Stanić,CB,25,68,61,76,64,60,77,64
Lucas Stassin,ST,19,68,69,58,66,68,56,70
Enda Stevens,LB,34,68,65,74,67,61,74,65
Paul Stock,CAM,27,68,68,78,70,67,77,70
Luca Strizzolo,ST,32,68,73,72,65,69,81,63
Boško Šutalo,CB,24,68,58,59,65,62,69,64
Yuito Suzuki,CAM,22,68,76,63,65,70,45,62
Sander Svendsen,RW,27,68,81,80,66,84,60,65
Gábor Szalai,CB,24,68,54,65,55,54,80,68
Patryk Szysz,RM,26,68,83,83,61,86,67,60
Waniss Taïbi,CM,22,68,48,83,72,58,65,64
Maksym Taloverov,CB,24,68,62,69,66,53,80,64
Tang Xin,RB,33,68,78,70,58,74,75,67
Tang Miao,RB,33,68,77,89,68,83,78,62
George Tanner,RB,24,68,69,78,62,73,64,63
Gonzalo Tapia,RM,22,68,80,74,63,78,72,65
Yohan Tavares,CB,36,68,57,69,65,52,75,69
Elayis Tavşan,RW,23,68,78,61,62,81,59,67
Jack Taylor,CDM,26,68,72,84,69,72,64,67
Duplexe Tchamba,CB,26,68,72,69,51,65,81,59
Malik Tchokounté,ST,36,68,44,73,64,35,86,59
Bryan Teixeira,ST,24,68,81,72,66,81,65,68
Lino Tempelmann,CM,25,68,70,78,70,83,60,69
Robert Tesche,CM,37,68,34,70,70,44,69,70
Jamal Thiaré,ST,31,68,87,84,62,86,77,63
Stefán Teitur Thórdarson,CM,25,68,58,76,69,63,66,69
Konstantinos Thymianis,CDM,23,68,64,72,69,58,73,66
Mohamed Tijani,CB,27,68,67,51,64,64,90,60
David Tijanić,CAM,27,68,73,73,68,78,64,60
Eoin Toal,CB,25,68,60,67,60,38,84,64
Bastien Toma,CM,25,68,55,71,70,74,66,65
Guti,CB,33,68,34,47,61,50,81,62
Jon Toral,CAM,29,68,66,51,72,74,45,58
Tidjany Touré,LM,22,68,81,68,61,85,62,63
Mathys Tourraine,RB,23,68,77,75,62,74,55,63
Lisandru Tramoni,RM,21,68,77,60,66,81,66,61
Bénie Traoré,ST,21,68,86,75,59,86,62,69
Wil Trapp,CDM,31,68,46,74,70,51,64,71
Arnór Ingvi Traustason,CM,31,68,78,89,67,78,70,69
Franco Troyansky,ST,27,68,75,70,61,76,72,66
Kevin Tshiembe,CB,27,68,76,71,63,71,80,66
Turrientes,CM,22,68,64,76,74,68,35,66
Naci Ünüvar,LW,21,68,58,59,69,71,38,62
Luciano Ursino,CM,35,68,68,58,71,65,58,70
Ramiro Vaca,CAM,25,68,74,80,69,75,27,55
Ever Valencia,LM,27,68,85,82,62,82,58,62
Milton Valenzuela,LB,26,68,75,78,67,76,64,63
Valera,RM,22,68,86,49,62,80,41,58
Álex Valle,LB,20,68,72,75,68,72,65,65
Jules Van Cleemput,CB,27,68,66,60,64,77,73,62
Tom van de Looi,CDM,25,68,62,74,70,72,74,67
Davy van den Berg,CM,24,68,61,87,70,73,72,65
Jan Van den Bergh,CB,29,68,69,72,60,60,70,66
Djevencio van der Kust,LB,23,68,87,75,63,88,54,62
Jonathan Varane,CDM,23,68,61,74,67,57,73,67
José Varela,CM,36,68,65,70,74,68,50,55
Diego Pampín,LB,24,68,65,71,64,75,58,63
Dal Varešanović,CAM,23,68,68,68,67,62,49,65
Kenneth Vargas,ST,22,68,83,71,64,81,52,57
Kerwin Vargas,LW,22,68,79,71,69,84,57,60
Aljoša Vasić,CM,22,68,77,63,70,78,71,70
Ignacio Vázquez,CB,27,68,39,67,54,47,83,56
Román Vega,LB,20,68,73,78,64,68,62,63
Dylan Vente,ST,25,68,73,65,67,75,62,68
Jesper Verlaat,CB,28,68,49,64,62,51,91,64
Clément Vidal,CB,24,68,48,63,66,45,69,66
Gabriel Vidović,LW,20,68,66,63,68,69,56,65
Vieirinha,LB,38,68,64,49,73,63,54,65
Leonardo Villagra,ST,34,68,71,62,59,69,78,67
Žan Vipotnik,ST,22,68,63,71,65,64,69,64
Tabaré Viudez,RM,35,68,62,38,71,72,70,55
Kostyantyn Vivcharenko,LB,22,68,69,68,69,73,64,67
Kevin Viveros,RM,24,68,75,66,65,75,59,49
Cristian Volpato,CAM,20,68,61,65,68,61,63,65
Linus Egnell Wahlqvist,RB,27,68,86,82,65,85,81,63
Sandy Walsh,RB,29,68,57,81,65,60,68,67
Wang Shangyuan,CM,31,68,73,92,69,71,79,66
Paul Wanner,CAM,18,68,63,74,73,76,36,66
Duncan Watmore,ST,30,68,79,72,66,83,62,68
Bartłomiej Wdowik,LB,23,68,71,75,68,77,62,63
Wei Shihao,LM,29,68,86,84,62,88,56,63
Nahki Wells,ST,34,68,73,69,66,73,61,69
Stephen Welsh,CB,24,68,64,55,71,68,72,68
Erick Wiemberg,LB,30,68,72,75,66,68,73,63
Caleb Wiley,LB,19,68,78,66,67,73,62,66
Jetro Willems,LB,30,68,63,57,68,66,80,68
Loïc Williams,CB,22,68,73,76,66,65,82,63
Marten Winkler,RM,21,68,92,73,63,88,56,59
Przemysław Wiśniewski,CB,26,68,87,73,57,81,89,64
Szymon Włodarczyk,ST,21,68,74,79,60,68,71,64
Cauley Woodrow,ST,29,68,55,61,65,58,71,69
Taulant Xhaka,CDM,33,68,64,81,68,65,73,63
Xie Pengfei,RM,31,68,80,87,62,80,67,62
Kevin Yakob,CM,23,68,70,68,72,71,67,68
Erencan Yardımcı,ST,22,68,80,72,56,71,78,69
Yehor Yarmoliuk,CAM,20,68,66,64,72,69,62,58
Yaw Yeboah,LM,27,68,88,69,63,90,59,64
Kartal Yılmaz,CDM,23,68,67,70,70,66,67,60
Frank Ysique,CDM,28,68,54,78,67,58,58,68
Facundo Zabala,LB,25,68,76,61,71,72,53,70
Žan Zaletel,CB,24,68,54,67,64,52,76,64
Franco Zanelatto,RM,24,68,78,75,65,72,65,65
Gyasi Zardes,ST,33,68,69,70,60,67,83,70
Cristián Zavala,RW,25,68,90,65,65,88,53,52
Moustafa Zeidan,CAM,26,68,56,68,69,67,72,64
Manuel Zeitz,CB,34,68,50,83,64,53,75,70
Jordan Zemura,LB,24,68,68,73,67,79,52,68
Altin Zeqiri,LW,24,68,71,69,63,74,55,65
Nathan Zézé,CB,19,68,61,64,64,67,64,66
Reto Ziegler,CB,38,68,42,72,74,45,71,68
Dilan Zúñiga,LB,28,68,77,73,64,81,68,59
Shiloh 't Zand,CAM,21,67,77,61,65,74,64,63
Toni Abad,RB,27,67,74,79,63,73,73,64
Nelson Abbey,CB,21,67,75,60,58,73,76,64
Luciano Abecasis,RB,34,67,75,72,64,76,74,60
Fabio Abiuso,ST,21,67,57,68,66,60,72,66
Giorgi Aburjania,CM,29,67,53,71,68,50,71,65
Sargis Adamyan,ST,31,67,67,65,69,74,68,65
Nathaniel Adjei,CB,22,67,80,64,63,76,76,61
Bismark Adjei-Boateng,CDM,30,67,76,85,65,72,83,60
Daniel Afriyie,ST,23,67,83,75,66,85,50,64
Bashkim Ajdini,RB,31,67,76,77,63,80,52,66
Alban Ajdini,ST,25,67,73,72,65,75,68,65
Albian Ajeti,ST,27,67,72,59,59,69,75,65
Ebenezer Akinsanmiro,CM,19,67,77,66,70,75,76,71
Abdullah Al Ammar,LB,30,67,79,80,68,72,69,66
Saleh Al Amri,LM,30,67,79,79,65,79,63,61
Faisal Al Ghamdi,CM,23,67,65,78,69,68,85,66
Khaled Al Hashmi,CB,27,67,68,79,54,65,73,68
Musab Al Juwair,CM,21,67,65,66,73,67,70,65
Fawaz Al Sagour,RB,28,67,92,92,67,92,56,58
Muhannad Al Shanqeeti,RB,25,67,82,76,62,79,68,60
Andreas Albers,ST,34,67,54,77,61,52,88,66
Juan Fernando Alfaro,CDM,24,67,68,62,71,64,66,62
Baba Alhassan,CM,24,67,80,81,68,83,82,68
Isnik Alimi,CDM,30,67,66,83,71,62,66,63
Fidan Aliti,CB,30,67,63,86,63,62,80,63
Julio Alonso,LB,25,67,70,55,63,71,61,67
Favio Álvarez,CAM,31,67,61,51,70,67,70,67
Frederik Alves,CB,24,67,46,67,62,53,81,55
Léo Chú,LM,24,67,87,56,53,86,45,50
Kelvin,LM,27,67,73,69,64,76,49,65
Gustavo Henrique,RW,25,67,73,68,63,67,65,65
Etienne Amenyido,ST,26,67,70,64,63,82,68,66
Jamal Amofa,CB,25,67,79,61,57,70,81,65
An Jae Jun,ST,23,67,80,59,49,77,67,65
Gregori Anangonó,RB,26,67,82,74,65,80,72,63
Emiliano Ancheta,RB,25,67,67,71,59,65,71,53
Jeppe Andersen,CM,31,67,71,85,65,61,80,71
Adam Andersson,RB,27,67,76,80,64,74,61,63
Elias Andersson,LB,28,67,66,74,68,63,66,64
Ryan Andrews,RB,20,67,86,70,64,84,50,60
Nilson Angulo,LW,21,67,81,55,67,78,49,58
Peter Ankersen,RB,33,67,72,76,64,76,62,65
Janis Antiste,ST,22,67,79,67,60,79,71,59
Mateo Antoni,CB,21,67,53,61,62,53,71,60
Valentin Antov,CB,23,67,62,72,57,48,81,66
Francisco Apaolaza,ST,27,67,68,67,63,69,72,60
Leonardo Aponte,CB,30,67,70,66,65,70,68,63
Jon Mikel Aramburu,RB,22,67,69,70,63,73,59,66
Arana,ST,24,67,74,65,64,68,67,65
Diego Armas,CAM,34,67,66,80,67,70,52,72
Yoël Armougom,LB,26,67,78,70,62,81,65,63
Jaime Arrascaita,RM,31,67,81,74,64,84,37,56
Ahmet Arslan,CM,30,67,63,70,70,70,64,67
Andrei Artean,CDM,31,67,66,80,68,66,78,67
Gjermund Åsen,CM,33,67,54,79,68,56,66,65
Kristoffer Askildsen,CM,23,67,48,77,70,59,66,66
Dairon Asprilla,LM,32,67,73,68,64,75,70,60
Tomás Asta-Buruaga,CB,27,67,64,73,62,60,73,64
Jani Atanasov,CM,24,67,73,75,71,68,73,62
Julián Aude,LB,21,67,70,73,68,74,59,64
Rafał Augustyniak,CB,30,67,65,73,64,64,82,60
Giuseppe Aurelio,LB,24,67,84,75,64,82,76,65
Douglas Aurélio,LM,25,67,78,65,63,77,66,61
David Ayala,CDM,22,67,69,64,74,75,49,64
Julian Baas,CM,22,67,57,88,67,67,72,67
Youri Baas,LB,21,67,73,79,66,66,59,55
Isaac Babadi,CAM,19,67,66,73,64,78,53,69
Felix Bacher,CB,24,67,52,77,59,62,84,58
Janik Bachmann,CDM,28,67,71,81,70,53,84,65
William Baeten,RM,27,67,76,75,65,76,67,61
Jean-Mattéo Bahoya,LM,19,67,76,60,64,76,58,65
Mike-Steven Bähre,CM,29,67,71,80,68,78,67,70
Ștefan Baiaram,CAM,21,67,85,82,65,83,50,60
Saïd Bakari,RB,29,67,76,82,64,81,73,64
Younes Bakiz,LW,25,67,77,72,63,72,62,58
Max Balard,CM,23,67,61,77,70,66,66,68
Silviu Balaure,RM,28,67,76,89,64,78,58,61
Thierno Baldé,RB,22,67,79,62,65,75,62,61
Radinio Balker,CB,26,67,90,65,64,80,80,65
Florian Ballas,CB,31,67,71,56,51,34,94,61
Tiago Banega,CM,25,67,68,70,72,72,57,58
Ezechiel Banzuzi,CM,19,67,69,72,74,65,72,67
Marcel Bär,ST,32,67,82,74,64,82,73,63
Jorge Teixeira,ST,25,67,85,74,56,71,88,60
Ahmed Barman,CDM,30,67,62,82,65,57,73,61
Daniel Barrea,RW,23,67,85,70,55,75,75,64
Mons Bassouamina,LM,26,67,82,72,63,83,68,56
Bastida,CDM,20,67,49,39,70,55,47,62
Nick Bätzner,CAM,24,67,66,70,71,71,56,56
Patrick Bauer,CB,31,67,28,32,60,30,89,58
Dominic Baumann,ST,29,67,68,61,59,63,84,63
Raúl Becerra,ST,36,67,53,65,52,54,82,63
Timo Beermann,CB,33,67,31,61,53,34,80,60
Aziz Behich,LB,33,67,73,76,67,80,59,63
Raffael Behounek,CB,27,67,67,72,56,47,85,66
Łukasz Bejger,CB,22,67,78,57,62,78,79,64
Ismajl Beka,CB,24,67,59,63,55,55,81,59
Zineddine Belaïd,CB,25,67,64,62,66,62,68,64
Luca Belardinelli,CDM,23,67,71,72,72,64,71,65
Joe Bell,CM,25,67,62,88,67,65,76,63
Leonardo Benedetti,CM,24,67,76,72,75,70,62,68
Nicolás Benegas,ST,28,67,53,71,57,61,83,60
Florin Berenguer,CAM,35,67,55,72,70,59,66,65
Gustav Berggren,CM,27,67,55,82,69,57,73,65
Antoine Bernier,ST,27,67,78,68,64,83,59,65
Luke Berry,CM,32,67,54,48,70,65,69,68
Adriano Bertaccini,ST,24,67,74,46,65,76,67,61
Ovidiu Bic,CDM,30,67,68,81,66,69,74,65
Vahan Bichakhchyan,RM,25,67,79,74,64,76,56,61
Tyler Bindon,CB,19,67,61,65,63,59,77,66
Tayfur Bingöl,LB,31,67,76,78,67,77,68,61
Juan Bisanz,RM,23,67,78,67,61,72,47,66
Birkir Bjarnason,CAM,36,67,62,83,69,61,72,67
Martin Bjørnbak,CB,32,67,37,68,62,35,90,65
